"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL,Unnamed: 15,Unnamed: 16
 DESODORANTE,3.09,-1.53,-0.36,2.69,0.23,-0.8,1.14,-0.9,-0.35,-0.03,0.34,1.45,0.62,0.39,,
 ABSORVENTE HIGIÊNICO,       -,       -,       -,-3.53,       -,       -,-2.45,0.51,       -,       -,       -,       -,       -,-2.04,,
 SABONETE,0.06,-0.74,-0.8,0.78,-1.13,3.98,-1.97,-1.65,-2.74,-0.32,0.78,0.18,-1.25,-0.75,,
 PAPEL HIGIÊNICO,-0.67,3.66,-0.14,-2.63,-1.07,0.55,-0.19,0.38,-0.12,3.37,-0.68,-2.6,1.07,0.21,,
 ARTIGO DE MAQUIAGEM,15.89,15.78,5.81,8.67,8.02,9.61,0.47,16.83,15.06,7.03,4.84,8.87,10.79,9.39,,
 DESPESAS PESSOAIS,0.44,0.52,0.35,0.55,0.19,0.31,0.62,-0.03,-0.15,0.3,0.37,0.76,0.77,0.31,,
 SERVIÇOS PESSOAIS,0.8,0.55,0.33,0.69,0.49,0.51,0.85,-0.27,-0.05,0.45,0.44,0.57,0.75,0.48,,
 SERVIÇOS PESSOAIS,0.8,0.55,0.33,0.69,0.49,0.51,0.85,-0.27,-0.05,0.45,0.44,0.57,0.75,0.48,,
 COSTUREIRA,       -,       -,1.04,0.21,       -,       -,-4.08,-0.68,-1.07,0.05,       -,       -,       -,-0.68,,
 MANICURE,0.86,0.33,2.62,1.64,0.86,0.63,3.27,-0.17,0,0.1,-0.74,0.39,0.94,1.0,,
 CABELEIREIRO,2.24,0.89,-1.26,0.99,0.16,0.5,1.66,-2.3,-1.47,0.42,0.98,1.01,2.35,0.31,,
 EMPREGADO  DOMÉSTICO,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,,
 DEPILAÇÃO,       -,       -,1.71,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.17,1.09,,
 DESPACHANTE,       -,1.9,1.52,       -,2.55,       -,       -,       -,       -,       -,       -,       -,       -,2.36,,
 SERVIÇO BANCÁRIO,0.02,0.02,0.02,0.04,0.02,0.02,0.04,0.04,0.04,0.02,0.04,0.04,0.04,0.02,,
 CONSELHO DE CLASSE,       -,       -,       -,0.73,       -,       -,       -,       -,       -,0.72,       -,       -,0.71,0.72,,
" RECREAÇÃO, FUMO E FILMES",-0.11,0.48,0.37,0.27,-0.27,-0.16,0.25,0.34,-0.34,0.12,0.2,1.12,0.83,0.04,,
 RECREAÇÃO,-0.08,0.67,0.51,0.35,-0.43,-0.2,0.32,0.55,-0.39,0.16,0.4,1.4,1.08,0.05,,
 CINEMA,2.44,0.92,0.85,1.65,-1.87,0,-0.53,       -,0.05,-8.29,3.42,5.26,1.21,-0.29,,
 CD E DVD,       -,       -,2.53,0.82,-0.56,0.35,0.71,0.01,0.89,1.22,       -,       -,0.7,0.51,,
 INGRESSO PARA JOGO,       -,       -,       -,0,       -,       -,-0.46,       -,-3.47,       -,       -,       -,       -,-1.72,,
 CLUBE,2.9,2.47,2.67,       -,2.49,       -,       -,       -,       -,1.63,-0.87,       -,0,2.28,,
 INSTRUMENTO MUSICAL,0.9,0.56,       -,       -,0.52,       -,       -,       -,       -,       -,       -,-0.51,0.51,0.61,,
 TRATAMENTO DE ANIMAIS,1.88,0.27,1.28,-1.24,-1.24,0.88,-0.41,1.76,0.74,-0.45,-0.03,0.92,2.78,-0.15,,
 BICICLETA,0.69,       -,0.67,1.32,-3.5,0.68,-0.19,-0.18,0.03,0.65,-0.17,-0.53,-1.63,-0.86,,
 ALIMENTO  PARA ANIMAIS,-1.47,0.5,0.69,0.86,0.47,2.38,-0.36,0.98,0.17,2.3,0.95,4.3,3.07,0.54,,
 BRINQUEDO,0,-1.26,-0.88,1.72,-1.83,0.06,1.47,1.88,-0.94,1.9,-0.86,2.01,1.42,-0.63,,
 LOCAÇÃO DE DVD,2.42,0,3.28,0.31,-3.08,0,0.32,-2.11,0.3,0,2.3,0,       -,-0.15,,
 BOATE E DANCETERIA,3.44,0.32,0.15,1.18,0.86,0,1.49,3.05,0,3.33,2.53,0,1.49,1.14,,
 JOGOS DE AZAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 MOTEL,       -,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,0.0,,
 HOTEL,-1.48,0.69,-0.28,-0.6,-0.47,-1.99,-1.65,-5.94,-1.47,-1.76,0.42,-0.45,0.47,-0.9,,
 EXCURSÃO,-1.77,4.01,0.34,-1.38,3.19,-1.36,0.61,3.89,       -,0.17,-1.57,2.01,1.28,0.2,,
 FUMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 CIGARRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 FOTOGRAFIA E FILMAGEM,-3.33,0.89,0.23,0.22,1.97,0.07,0.54,-0.84,-1.49,-1.25,-1.16,1.57,0.26,0.1,,
 MÁQUINA FOTOGRÁFICA,-1.25,1.61,0.51,0.53,1.97,0.25,0.54,0.52,1.64,0.65,-1.11,0.51,0.55,1.18,,
 REVELAÇÃO E CÓPIA,-5.03,0,0,0,       -,0,       -,-2.85,-2.91,-2.85,-1.18,2.93,0,-1.67,,
 EDUCAÇÃO,6.4,5.89,6.64,6.8,3.63,3.56,5.48,0.77,7.2,4.68,4.6,5.54,5,5.04,,
" CURSOS, LEITURA E PAPELARIA",6.4,5.89,6.64,6.8,3.63,3.56,5.48,0.77,7.2,4.68,4.6,5.54,5,5.04,,
 CURSOS REGULARES,9.65,8.05,8.9,8.83,4.94,5.26,9.17,0,10.13,6.92,6.08,7.85,7.87,6.99,,
 CRECHE,       -,8.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.47,,
 EDUCAÇÃO INFANTIL,9.59,13.08,9.84,11.4,7.13,11.29,11.8,0,9.48,9.97,7.82,8.49,10.96,9.03,,
 ENSINO FUNDAMENTAL,9.8,12.48,10.35,10.9,7.15,11.88,11.42,0,10.03,9.07,8.75,11.13,12.62,8.83,,
 ENSINO MÉDIO,8.72,14.4,10.59,10.48,6.43,10.88,11.33,0,10.82,8.98,11.34,10.62,16.45,8.36,,
 ENSINO SUPERIOR,11.95,5.82,8.68,7.1,4.67,2.09,8.71,0,10.86,6.32,3.52,6.05,4.02,6.36,,
 PÓS - GRADUAÇÃO ,-1.13,13.87,3.55,0,-3.13,0.06,0.59,0,4.81,2.94,6.26,3.98,0.8,0.33,,
 LEITURA,1.22,0.26,-0.08,0.46,0.3,0.37,-0.64,0.35,0.97,-0.02,0.02,0.09,-0.16,0.44,,
 JORNAL DIÁRIO,2.67,0,0,       -,0,0,0,       -,       -,0,0,0,       -,0.73,,
 ASSINATURA DE JORNAL,0,0.83,-1.6,0.52,       -,       -,       -,       -,       -,0,       -,0.87,       -,-0.08,,
 REVISTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 LIVRO,1.61,0.38,0.7,0.82,1.42,1.31,-2.07,0.75,1.97,-0.13,0.07,0.01,-0.4,1.03,,
 PAPELARIA,-1.5,3.17,1.46,1.65,0.39,-0.86,0.06,-0.41,0.24,-0.06,-1.97,-2.36,2.03,0.39,,
 CADERNO,-0.04,2.67,2.99,0.33,-2.46,-2.65,1.42,-2.32,-1.09,-2.77,-2.27,-1.83,3.71,-0.38,,
 FOTOCÓPIA,       -,       -,2.55,1.16,       -,       -,1.53,1.5,-0.6,       -,       -,       -,       -,1.1,,
 ARTIGO DE PAPELARIA,-2.59,3.54,0.46,2.63,2.53,-0.17,-2.34,-0.55,1.58,1.59,-1.83,-2.89,0.11,0.83,,
 CURSOS DIVERSOS,4.07,2.66,6.13,4.19,1.52,2.72,2.52,5.82,3.59,1.45,7.3,5.63,0.62,3.04,,
 CURSO PREPARATÓRIO,5.84,1.1,7.78,8.28,1.18,6.88,2.77,8,5.84,0.09,10.69,13.26,4.05,4.14,,
 CURSO TÉCNICO,       -,5.1,2.74,       -,-4.59,-1.88,3.59,13.06,3.71,-2.33,       -,1.72,0,0.44,,
 CURSO DE IDIOMA,5.74,2.36,10.24,4.46,4.72,6.73,10.86,4.23,4.21,1.7,6.49,7.2,-1.77,5.23,,
 CURSO DE INFORMÁTICA,       -,4.1,5.95,0.88,-0.63,       -,-0.77,-0.01,-2.25,4.36,7.35,4.14,1.06,1.22,,
 ATIVIDADES FÍSICAS,1.1,1.86,1.05,3.14,0.64,0.67,0.84,1.42,2.99,1.98,3.87,2.32,1.9,1.24,,
 COMUNICAÇÃO,0.86,0.7,0.83,1.11,0.52,0.43,0.71,0.89,0.54,0.5,0.2,0.77,0.9,0.66,,
 COMUNICAÇÃO,0.86,0.7,0.83,1.11,0.52,0.43,0.71,0.89,0.54,0.5,0.2,0.77,0.9,0.66,,
 COMUNICAÇÃO,0.86,0.7,0.83,1.11,0.52,0.43,0.71,0.89,0.54,0.5,0.2,0.77,0.9,0.66,,
 CORREIO,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0,       -,0.0,,
 TELEFONE FIXO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 TELEFONE PÚBLICO,       -,0,0,       -,0.29,0,0,0,0,0,0,0,0,0.12,,
 TELEFONE CELULAR,0.46,0.46,1.31,1.42,0.46,0.46,1.31,1.78,1.18,1.31,0.46,0.67,0.94,0.85,,
 ACESSO À INTERNET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 APARELHO TELEFÔNICO,0.5,-3.36,0.74,0.33,-2.93,-0.67,1.2,-1.42,-3.05,-3.95,-5.49,1.84,1.14,-1.41,,
 TELEFONE COM INTERNET - PACOTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 TV POR ASSINATURA COM INTERNET,6.33,7.53,4.89,7.87,4.89,4.95,0,5.21,5.17,5.04,4.95,6.09,7.53,5.52,,
