"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL,Unnamed: 15,Unnamed: 16
 PRODUTO PARA UNHAS,-0.28,-1.32,-1.96,-3.94,1.98,       -,1.51,3.76,-2.74,       -,0.33,       -,1.13,0.02,,
 PERFUME,2.55,0.88,0.92,1.16,1.61,0.27,1.41,-1.72,1.16,-0.22,2.92,0.4,0.63,1.14,,
 DESODORANTE,0.25,-0.69,-0.12,-0.16,-1.15,1.49,-1.07,-1.22,-0.37,-1.27,0.43,1.08,0.66,-0.51,,
 ABSORVENTE HIGIÊNICO,       -,       -,       -,-1.09,       -,       -,-0.12,2.46,       -,       -,       -,       -,       -,0.25,,
 SABONETE,-2.44,1.31,0.71,0.24,-0.47,3.5,-1.36,-3.06,-0.73,-0.99,-1.71,1.76,1.95,-0.45,,
 PAPEL HIGIÊNICO,-0.6,-0.39,0.84,-3.86,-0.34,-0.94,-1.34,-3.51,-1.7,-1.76,1,1.38,0.78,-0.68,,
 ARTIGO DE MAQUIAGEM,-6.16,-7.48,-1.14,-2.78,-5.49,-1.98,-3.35,-4.63,-6.86,-2.66,-3.61,-4.04,-6.27,-4.67,,
 DESPESAS PESSOAIS,-0.07,0.51,0.43,0.69,0.49,0.35,0.18,0.17,0.4,0.19,0.24,0.47,0.36,0.36,,
 SERVIÇOS PESSOAIS,0.32,0.61,0.33,0.62,0.73,0.59,0.17,0.27,0.44,0.41,0.27,0.48,0.47,0.51,,
 SERVIÇOS PESSOAIS,0.32,0.61,0.33,0.62,0.73,0.59,0.17,0.27,0.44,0.41,0.27,0.48,0.47,0.51,,
 COSTUREIRA,       -,       -,1.84,1.04,       -,       -,-0.53,0.53,1.46,2.47,       -,       -,       -,1.19,,
 MANICURE,-1.05,-1.2,-0.67,1.24,-1.02,1.13,0,0.16,-1.63,1.26,1.26,0.33,1.77,-0.43,,
 CABELEIREIRO,-0.54,1.19,-0.4,0.38,2.2,0.6,-0.81,-0.56,0.28,-0.64,-1.63,0.07,-1.02,0.47,,
 EMPREGADO  DOMÉSTICO,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,,
 DEPILAÇÃO,       -,       -,-2.92,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.99,-2.08,,
 DESPACHANTE,       -,0,-0.45,       -,-1.81,       -,       -,       -,       -,       -,       -,       -,       -,-1.45,,
 SERVIÇO BANCÁRIO,1.35,1.35,1.35,1.45,1.35,1.35,1.45,1.45,1.45,1.35,1.45,1.45,1.45,1.38,,
 CONSELHO DE CLASSE,       -,       -,       -,0.73,       -,       -,       -,       -,       -,0.72,       -,       -,0.72,0.72,,
" RECREAÇÃO, FUMO E FILMES",-0.69,0.38,0.63,0.82,0.12,-0.21,0.19,0.01,0.31,-0.07,0.17,0.47,0.05,0.12,,
 RECREAÇÃO,-0.9,0.58,0.84,1.03,0.18,-0.27,0.25,0.02,0.4,-0.11,0.34,0.61,0.08,0.15,,
 CINEMA,0.75,1.18,1.15,2.07,2.12,1.49,1.52,       -,0.61,3.2,2.87,0.12,1.01,1.64,,
 CD E DVD,       -,       -,3.59,2.1,-2.97,0.31,-0.05,-0.04,-2.4,-0.92,       -,       -,-0.03,-0.92,,
 INGRESSO PARA JOGO,       -,       -,       -,1.07,       -,       -,-2.16,       -,2.33,       -,       -,       -,       -,0.49,,
 CLUBE,0,3.37,1.15,       -,-0.02,       -,       -,       -,       -,0.07,0,       -,0,0.57,,
 INSTRUMENTO MUSICAL,-0.58,-0.58,       -,       -,-0.82,       -,       -,       -,       -,       -,       -,0.53,-0.24,-0.65,,
 TRATAMENTO DE ANIMAIS,0.54,-0.53,0.5,-1.15,0.28,1.09,-0.41,-0.61,0.36,0.73,0.09,0,-0.3,0.21,,
 BICICLETA,-1.88,       -,-0.44,0.35,-2.19,-0.7,-1.07,-1.06,0.68,-1.89,-2.87,-0.26,-0.72,-1.26,,
 ALIMENTO  PARA ANIMAIS,-0.28,0.47,0.61,-0.13,0.16,2.21,-1.58,0.1,2.39,1.28,0.81,0.92,-0.01,0.4,,
 BRINQUEDO,-0.46,0.01,1.19,2.79,1.15,-1.23,2.17,-0.17,-0.78,-1.79,-1.47,1.23,-0.18,0.57,,
 LOCAÇÃO DE DVD,0,2.02,0.58,0.59,2.32,0,0.6,0.61,0.62,0.64,0,0.63,       -,1.15,,
 BOATE E DANCETERIA,1.72,0.84,1,2.1,-2.06,0,0.08,-1.69,0,-1.66,0.53,-1.78,0.08,-0.44,,
 JOGOS DE AZAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 MOTEL,       -,       -,       -,       -,       -,       -,0.12,       -,       -,       -,       -,       -,       -,0.12,,
 HOTEL,-3.29,-0.6,-0.18,0.86,-0.14,-3.38,-0.05,3.78,1.3,-0.12,0.93,0.49,1.33,-0.27,,
 EXCURSÃO,-2.54,1.04,1.49,1.11,0.83,1.48,0.63,0.73,       -,-0.23,1.76,1.73,-1.64,-0.31,,
 FUMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 CIGARRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 FOTOGRAFIA E FILMAGEM,0.15,-1.13,1.45,1.65,-0.01,-0.18,-0.03,-0.02,0.51,1.48,-1.07,-0.66,-1.21,0.25,,
 MÁQUINA FOTOGRÁFICA,-2.08,-2,2.61,-0.02,-0.01,-3.56,-0.03,-0.04,1.64,3.29,-0.06,-0.05,-0.06,0.16,,
 REVELAÇÃO E CÓPIA,1.95,-0.04,0.53,2.88,       -,1.16,       -,0,0,0,-1.58,-1.45,-2.23,0.4,,
 EDUCAÇÃO,0.04,0.07,0.02,-0.06,-0.16,0.15,-0.16,-0.12,0.19,0.18,0.05,0.5,0.03,-0.02,,
" CURSOS, LEITURA E PAPELARIA",0.04,0.07,0.02,-0.06,-0.16,0.15,-0.16,-0.12,0.19,0.18,0.05,0.5,0.03,-0.02,,
 CURSOS REGULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 CRECHE,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0,,
 EDUCAÇÃO INFANTIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 ENSINO FUNDAMENTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 ENSINO MÉDIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 ENSINO SUPERIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 PÓS - GRADUAÇÃO ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 LEITURA,0,0.18,0.18,0.16,0.06,0.11,-0.39,-0.11,0.04,1.2,0,2.3,-0.14,0.15,,
 JORNAL DIÁRIO,0,0,0,       -,0,0,0,       -,       -,9.09,0,5.41,       -,0.43,,
 ASSINATURA DE JORNAL,0.57,1.11,-0.24,0.51,       -,       -,       -,       -,       -,0,       -,0,       -,0.46,,
 REVISTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 LIVRO,-0.27,-0.65,0.86,0.14,0.26,0.39,-1.27,-0.23,0.08,-1.21,0.01,0.19,-0.35,0.02,,
 PAPELARIA,0.72,0.56,0,-1.03,-2.87,1.7,-1.26,-1.25,2.23,0.61,0.49,2.16,0.35,-0.44,,
 CADERNO,-1.02,-1.77,0.7,-1.75,-2.78,0.21,-2.34,-0.09,3.22,-2.46,-1.63,0.59,1.59,-1.21,,
 FOTOCÓPIA,       -,       -,-2.9,2.34,       -,       -,0.56,-1.27,0.24,       -,       -,       -,       -,-0.39,,
 ARTIGO DE PAPELARIA,2.1,2.45,0.22,-2.51,-2.94,2.28,-0.37,-2.29,2.66,2.39,1.36,3.7,-1.12,0.09,,
 CURSOS DIVERSOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 CURSO PREPARATÓRIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 CURSO TÉCNICO,       -,0,0,       -,0,0,0,0,0,0,       -,0,0,0.0,,
 CURSO DE IDIOMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 CURSO DE INFORMÁTICA,       -,0,0,0,0,       -,0,0,0,0,0,0,0,0.0,,
 ATIVIDADES FÍSICAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 COMUNICAÇÃO,0.02,-0.05,0.01,0.18,-0.01,-0.09,-0.1,-0.18,-0.18,0.05,0.11,-0.02,-0.1,-0.02,,
 COMUNICAÇÃO,0.02,-0.05,0.01,0.18,-0.01,-0.09,-0.1,-0.18,-0.18,0.05,0.11,-0.02,-0.1,-0.02,,
 COMUNICAÇÃO,0.02,-0.05,0.01,0.18,-0.01,-0.09,-0.1,-0.18,-0.18,0.05,0.11,-0.02,-0.1,-0.02,,
 CORREIO,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0,       -,0.0,,
 TELEFONE FIXO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 TELEFONE PÚBLICO,       -,0,0,       -,0.28,0,0,0,0,2.54,0.97,0,0,0.46,,
 TELEFONE CELULAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 ACESSO À INTERNET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 APARELHO TELEFÔNICO,1.06,-1.55,0.1,2.45,-0.94,-3.72,-1.89,-2.62,-3.37,-1.3,0.86,-0.75,-2.96,-0.74,,
 TELEFONE COM INTERNET - PACOTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 TV POR ASSINATURA COM INTERNET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
